time,x,y,z
290.0,-2582980.9347516834,6301616.192453907,906827.7512619956
292.0,-2582232.983608567,6299724.948286736,921925.8982030817
294.0,-2581472.321414064,6297802.694500125,937019.4946985521
296.0,-2580698.9519289746,6295849.440595228,952108.4662504729
298.0,-2579912.878977261,6293865.196227293,967192.7383841082
300.0,-2579114.1064460296,6291849.971205609,982272.2366482986
302.0,-2578302.63828551,6289803.775493452,997346.8866158399
304.0,-2577478.478509032,6287726.6192080425,1012416.6138838617
306.0,-2576641.6311930087,6285618.51262048,1027481.3440742056
308.0,-2575792.100476911,6283479.4661557,1042541.0028338038
310.0,-2574929.890563247,6281309.490392415,1057595.5158350565
312.0,-2574055.0057175416,6279108.596063057,1072644.8087762103
314.0,-2573167.4502683114,6276876.794053728,1087688.807381736
316.0,-2572267.2286070427,6274614.095404134,1102727.4374027066
318.0,-2571354.3451881693,6272320.511307538,1117760.6246171736
320.0,-2570428.8045290476,6269996.053110689,1132788.2948305453
322.0,-2569490.611209933,6267640.732313773,1147810.373875964
324.0,-2568539.769873956,6265254.560570346,1162826.7876146827
326.0,-2567576.2852270985,6262837.549687277,1177837.4619364422
328.0,-2566600.162038165,6260389.711624681,1192842.3227598472
330.0,-2565611.4051387627,6257911.0584958615,1207841.2960327435
332.0,-2564610.019423272,6255401.602567242,1222834.307732594
334.0,-2563596.009848821,6252861.356258307,1237821.2838668549
336.0,-2562569.38143526,6250290.332141528,1252802.150473352
338.0,-2561530.1392651354,6247688.542942304,1267776.8336206563
340.0,-2560478.288483661,6245056.001538895,1282745.259408459
342.0,-2559413.8342986912,6242392.720962347,1297707.353967948
344.0,-2558336.781980694,6239698.714396432,1312663.0434621824
346.0,-2557247.1368627218,6236973.995177569,1327612.2540864681
348.0,-2556144.9043403836,6234218.57679476,1342554.9120687323
350.0,-2555030.0898718173,6231432.472889519,1357490.943669898
352.0,-2553902.6989776576,6228615.697255795,1372420.2751842588
354.0,-2552762.737241009,6225768.2638399005,1387342.8329398532
356.0,-2551610.2103074156,6222890.186740441,1402258.5432988384
358.0,-2550445.123884831,6219981.480208238,1417167.3326578643
360.0,-2549267.4837435866,6217042.158646248,1432069.1274484468
361.99999999999994,-2548077.295716362,6214072.236609497,1446963.8541373417
364.0,-2546874.565698154,6211071.728804994,1461851.4392269177
365.99999999999994,-2545659.2996462435,6208040.650091659,1476731.8092555292
368.0,-2544431.5035801656,6204979.015480239,1491604.890797889
369.99999999999994,-2543191.1835816763,6201886.840133229,1506470.6104654416
372.0,-2541938.3457947196,6198764.139364797,1521328.894906734
374.00000000000006,-2540672.996425396,6195610.928640694,1536179.6708077895
376.0,-2539395.1417419277,6192427.22357818,1551022.8648924779
378.00000000000006,-2538104.788074626,6189213.039945935,1565858.403922888
380.0,-2536801.9418158573,6185968.393663975,1580686.214699699
382.00000000000006,-2535486.6094200085,6182693.300803574,1595506.2240625513
384.0,-2534158.7974034525,6179387.777587169,1610318.358890417
386.00000000000006,-2532818.512344514,6176051.84038828,1625122.5461019715
388.0,-2531465.760883433,6172685.505731422,1639918.712655963
390.0,-2530100.54972233,6169288.790292014,1654706.7855515822
392.0,-2528722.885625171,6165861.710896293,1669486.6918288334
394.0,-2527332.7754177283,6162404.28452122,1684258.3585689035
396.0,-2525930.225987547,6158916.528294398,1699021.7128945307
398.0,-2524515.244283907,6155398.459493971,1713776.6819703744
400.0,-2523087.837317785,6151850.095548537,1728523.1930033832
402.0,-2521648.0121618165,6148271.454037052,1743261.1732431648
404.0,-2520195.775950261,6144662.552688741,1757990.549982352
406.0,-2518731.1358789597,6141023.409383,1772711.2505569723
407.99999999999994,-2517254.0992052997,6137354.042149299,1787423.2023468157
410.0,-2515764.6732481746,6133654.469167089,1802126.332775801
411.99999999999994,-2514262.865387943,6129924.708765702,1816820.5693123434
414.0,-2512748.6830663923,6126164.779424256,1831505.8394697218
415.99999999999994,-2511222.133786696,6122374.699771553,1846182.0708064442
418.0,-2509683.225113375,6118554.488585983,1860849.1909266147
419.99999999999994,-2508131.9646722567,6114704.164795421,1875507.1274802997
422.0,-2506568.3601504336,6110823.747477125,1890155.8081638932
424.00000000000006,-2504992.419296223,6106913.255857638,1904795.1607204815
426.0,-2503404.149919124,6102972.709312682,1919425.112940209
428.00000000000006,-2501803.5598897766,6099002.127367054,1934045.5926606432
430.0,-2500190.6571399197,6095001.529694524,1948656.527767138
432.00000000000006,-2498565.4496623473,6090970.936117728,1963257.846193199
434.0,-2496927.9455108675,6086910.366608064,1977849.4759208465
436.0,-2495278.152800258,6082819.841285581,1992431.3449809786
438.0,-2493616.079706222,6078699.380418876,2007003.381453736
440.0,-2491941.7344653457,6074549.004424984,2021565.5134688632
442.0,-2490255.125375054,6070368.733869267,2036117.6692060719
444.0,-2488556.260793565,6066158.589465307,2050659.7768954025
446.0,-2486845.149139845,6061918.592074794,2065191.7648175869
448.0,-2485121.798893566,6057648.762707411,2079713.5613044088
450.0,-2483386.2185950563,6053349.12252073,2094225.0947390664
452.0,-2481638.416845259,6049019.692820089,2108726.2935565324
454.0,-2479878.4023056813,6044660.495058483,2123217.0862439135
456.0,-2478106.1836983524,6040271.550836453,2137697.4013408124
458.00000000000006,-2476321.769805773,6035852.881901962,2152167.1674396875
460.00000000000006,-2474525.169470872,6031404.510150284,2166626.313186211
462.00000000000006,-2472716.3915969543,6026926.457623887,2181074.767279629
464.00000000000006,-2470895.445147659,6022418.746512314,2195512.4584731204
466.00000000000006,-2469062.339146907,6017881.399152066,2209939.3155741543
468.00000000000006,-2467217.0826788535,6013314.438026476,2224355.26744485
470.00000000000006,-2465359.684887841,6008717.885765598,2238760.2430023337
472.00000000000006,-2463490.154978347,6004091.765146081,2253154.171219095
474.00000000000006,-2461608.50221494,5999436.099091048,2267536.9811233454
476.00000000000006,-2459714.735922225,5994750.910669973,2281908.6017993744
